"Маршала Жукова пр., д.32, к.1","2562,57\1663","3259,54\2061,75",27\24
"Маршала Жукова пр., д.34, к.1а",1099\796,"1570,3\1177,3",43\48
"Маршала Жукова пр., д.34, к.1б",293\70,"417,5\94,3",42\35
"Маршала Жукова пр., д.34, к.1в",1302\1069,"1914,85\1725,35",47\61
"Маршала Жукова пр., д.34, к.1г","499,86\399","871,7\722,95",74\81
"Маршала Жукова пр., д.34, к.1д",566\135,"711,13\160,6",26\19
"Маршала Жукова пр., д.34, к.1е",859\176,"1093,12\246,87",27\40
"Маршала Казакова ул., д.1, к.2",1019\692,"1507,6\1181,45",48\71
"Маршала Казакова ул., д.3, к.1",1061\528,"1134,65\731,75",7\39
"Маршала Казакова ул., д.5, к.1а","362,9\428","788,12\679,75",117\59
"Маршала Казакова ул., д.5, к.1б","1299,3\1108","1586,19\1494,85",22\35
"Маршала Казакова ул., д.10, к.1а","1360,18\919","1809,98\1168,5",33\27
"Маршала Казакова ул., д.10, к.1б","833,94\610","1024,77\730,45",23\20
"Маршала Казакова ул., д.10, к.1в","1055,4\780","1456,51\1053,1",38\35
"Маршала Казакова ул., д.10, к.1д","866,39\555","1163,13\1055",34\90
"Маршала Казакова ул., д.13",586\378,"660,55\394,4",13\4
"Метростроевцев ул., д.2","223,25\216","321,58\311,9",44\44
"Метростроевцев ул., д.3",82\57,"90,75\70,25",11\23
"Морской пехоты ул., д.4",1395\846,"1929,8\1279",38\51
"Морской пехоты ул., д.6, к.1","1149,4\409","1574,07\521,75",37\28
"Морской пехоты ул., д.10, к.1",1566\793,"2010,95\1031,2",28\30
"Морской пехоты ул., д.14",1184\659,"1582,3\956,6",34\45
"Народного ополчения пр., д.7",514\174,"352,6\177,55",-31\2
"Новаторов бул., д.1","101,7\118","201,47\196,3",98\66
"Новаторов бул., д.3",132\89,"212,1\98,75",61\11
"Новоовсянниковская ул., д.9",71\34,"78,65\43,25",11\27
"Новоовсянниковская ул., д.13",12\6,"15,25\12,35",27\106
"Новостроек ул., д.8",84\49,"96,6\56,35",15\15
"Новостроек ул., д.20",135\100,"209,75\142,35",55\42
"Новостроек ул., д.25","252,45\151","279,78\166,45",11\10
"Новостроек ул., д.27",49\22,"65,45\33,8",34\54
"Новостроек ул., д.28",114\63,"109,55\60,75",-4\-4
"Новостроек ул., д.29",126\74,"194,14\114,85",54\55
"Новостроек ул., д.31","281,9\0","281,9\0",0\-
"Новостроек ул., д.33",97\63,"164,75\104,9",70\67
"Новостроек ул., д.35","106,25\63","172,76\104,65",63\66
"Оборонная ул., д.3",157\147,"135,6\103,4",-14\-30
"Оборонная ул., д.4",691\358,"600,8\990,85",-13\177
"Оборонная ул., д.5",202\214,"432\427,2",114\100
"Оборонная ул., д.6",14\12,"403,1\5,95",2779\-50
"Оборонная ул., д.7/20",18\21,"43,95\26,95",144\28
"Оборонная ул., д.14",58\85,"65,15\99,05",12\17
"Оборонная ул., д.15",1\1,"1,15\1,15",15\15
"Оборонная ул., д.17/13",76\5,"86,7\11,05",14\121
"Оборонная ул., д.19",57\28,"62,7\3,3",10\-88
"Оборонная ул., д.20/18",106\23,"118,35\57,8",12\151
