"КАНОНЕРСКИЙ ОСТРОВ, д.8",4497\1400,3096\964,-31\-31
"КАНОНЕРСКИЙ ОСТРОВ, д.9",2010\885,1455\555,-28\-37
"КАНОНЕРСКИЙ ОСТРОВ, д.10",2600\1165,2160\980,-17\-16
"КАНОНЕРСКИЙ ОСТРОВ, д.11, корп.1",1212\519,1001\387,-17\-25
"КАНОНЕРСКИЙ ОСТРОВ, д.12",765\330,428\256,-44\-22
"КАНОНЕРСКИЙ ОСТРОВ, д.12, корп.2",620\297,439\258,-29\-13
"КАНОНЕРСКИЙ ОСТРОВ, д.13",249\280,110\173,-56\-38
"КАНОНЕРСКИЙ ОСТРОВ, д.14",253\234,31\48,-88\-79
"КАНОНЕРСКИЙ ОСТРОВ, д.16",146\52,66\65,-55\25
"КАНОНЕРСКИЙ ОСТРОВ, д.25",222\105,345\79,55\-25
"КОРНЕЕВА УЛ., д.2",238\1091,382\1010,61\-7
"КОРНЕЕВА УЛ., д.6",2285\266,1695\549,-26\106
"КОСИНОВА УЛ., д.5",56\29,36\18,-36\-38
"КОСИНОВА УЛ., д.7",51\55,28\41,-45\-25
"КОСИНОВА УЛ., д.9/9",56\37,60\43,7\16
"КОСИНОВА УЛ., д.14, корп.1",268\275,213\271,-21\-1
"КОСИНОВА УЛ., д.14, корп.2",98\74,154\113,57\53
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13",746\389,641\352,-14\-10
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18",50\39,40\38,-20\-3
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20",306\0,306\169,0\-
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26",684\356,1315\644,92\81
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20",271\140,297\155,10\11
"ЛЕНИНСКИЙ ПР., д.110, корп.1А",232\207,257\249,11\20
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б",1537\1133,1278\1266,-17\12
"ЛЕНИНСКИЙ ПР., д.120, корп.2",52\46,78\74,50\61
"ЛЕНИНСКИЙ ПР., д.121",1301\534,1564\665,20\25
"ЛЕНИНСКИЙ ПР., д.121, корп.2",412,480,17
"ЛЕНИНСКИЙ ПР., д.121, корп.3",23\4,3\13,-87\225
"ЛЕНИНСКИЙ ПР., д.124",2129\552,1896\590,-11\7
"ЛЕНИНСКИЙ ПР., д.130, корп.2",803\384,841\406,5\6
"МАЙКОВ ПЕР., д.3",44\35,39\46,-11\31
"МАЙКОВ ПЕР., д.5А",149\37,142\75,-5\103
"МАЙКОВ ПЕР., д.7/1",102\54,145\78,42\44
"МАРШАЛА ГОВОРОВА УЛ., д.3/7",323\0,335\0,4\-
"МАРШАЛА ГОВОРОВА УЛ., д.5/4",253\177,434\312,72\76
"МАРШАЛА ГОВОРОВА УЛ., д.6/5",242\130,194\133,-20\2
"МАРШАЛА ГОВОРОВА УЛ., д.7",125\72,119\74,-5\3
"МАРШАЛА ГОВОРОВА УЛ., д.11/3",120\12,64\11,-47\-8
"МАРШАЛА ГОВОРОВА УЛ., д.15",29\51,37\70,28\37
"МАРШАЛА ГОВОРОВА УЛ., д.16",2786\1180,2687\1136,-4\-4
"МАРШАЛА ГОВОРОВА УЛ., д.17",41\27,46\33,12\22
"МАРШАЛА ГОВОРОВА УЛ., д.21",146\109,164\130,12\19
"МАРШАЛА ГОВОРОВА УЛ., д.22/10",720\459,787\449,9\-2
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2",111\75,95\100,-14\33
"МАРШАЛА ГОВОРОВА УЛ., д.23",208\104,222\109,7\5
"МАРШАЛА ГОВОРОВА УЛ., д.24",281\240,333\278,19\16
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2",138\69,210\105,52\52
"МАРШАЛА ЖУКОВА ПР., д.18А",635\320,584\306,-8\-4
"МАРШАЛА ЖУКОВА ПР., д.18Б","542,4\203",500\238,-8\17
"МАРШАЛА ЖУКОВА ПР., д.18В",2316\1145,2179\1268,-6\11
"МАРШАЛА ЖУКОВА ПР., д.18Г",677\604,705\678,4\12
"МАРШАЛА ЖУКОВА ПР., д.18Д",503\238,519\211,3\-11
"МАРШАЛА ЖУКОВА ПР., д.20",3215\971,2687\708,-16\-27
"МАРШАЛА ЖУКОВА ПР., д.26/16А",740\596,870\785,18\32
"МАРШАЛА ЖУКОВА ПР., д.26/16Б",1427\852,1356\897,-5\5
"МАРШАЛА ЖУКОВА ПР., д.26/16В",1589\950,1675\1163,5\22
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1",1595\928,1581\1107,-1\19
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А",510\360,600\450,18\25
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б",466\138,481\156,3\13
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В",1764\995,1907\1306,8\31
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г",591\566,724\756,23\34
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д",1533\682,2054\855,34\25
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е",523\553,513\541,-2\-2
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж",1171\1056,1469\1245,25\18
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1",1948\1368,1882\1319,-3\-4
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А",580\720,634\844,9\17
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б","287,65\65",290\76,1\17
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В",1310\1322,1203\1274,-8\-4
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г",674\556,704\633,4\14
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д","555,23\123",560\146,1\19
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е","841,22\187",851\223,1\19
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2",1185\975,863\669,-27\-31
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1",1312\814,2731\911,108\12
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А",541\445,700\575,29\29
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б",1161\1035,1206\1088,4\5
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А",814\901,909\956,12\6
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Б",815\600,1264\780,55\30
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1В",633\550,906\773,43\41
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1Д",1060\0,1060\0,0\-
"МАРШАЛА КАЗАКОВА УЛ., д.13",1529\573,1348\462,-12\-19
"МЕТРОСТРОЕВЦЕВ УЛ., д.2",105\99,244\181,132\83
"МЕТРОСТРОЕВЦЕВ УЛ., д.3",46\0,46\0,0\-
"МОРСКОЙ ПЕХОТЫ УЛ., д.4",1976\391,1734\413,-12\6
