"Маршала Говорова ул., д.23","316,55\164,95","228,55\118,95",-28\-28
"Маршала Говорова ул., д.24","573,35\433,8","534,35\358,8",-7\-17
"Маршала Говорова ул., д.26, к.2","368,35\188,85","323,35\164,85",-12\-13
"Маршала Жукова пр., д.18а","1108,95\477,2","1101,95\452,2",-1\-5
"Маршала Жукова пр., д.18б","2186,86\1136,6","2241,13\1091,6",2\-4
"Маршала Жукова пр., д.18в","2970,85\1791,6","1988,9\1600,6",-33\-11
"Маршала Жукова пр., д.18г","1388,15\1025","1491,03\940",7\-8
"Маршала Жукова пр., д.18д","1130,65\715,1","1099,65\637,1",-3\-11
"Маршала Жукова пр., д.26/16а","940,45\735,25","961,45\692,25",2\-6
"Маршала Жукова пр., д.26/16б","1789,11\1080,3","1836,39\1032,3",3\-4
"Маршала Жукова пр., д.26/16в","1803,85\1428,6","1848,28\1421,6",2\0
"Маршала Жукова пр., д.28, к.1","2093,29\1581,9","2164,09\1467,9",3\-7
"Маршала Жукова пр., д.30, к.2а",1158\882,1278\882,10\0
"Маршала Жукова пр., д.30, к.2б","106,5\100,05","117,5\102,05",10\2
"Маршала Жукова пр., д.30, к.2в","3430\2033,95","3509\1896,95",2\-7
"Маршала Жукова пр., д.30, к.2г","1407,45\1078,25","1552,45\1042,25",10\-3
"Маршала Жукова пр., д.30, к.2д","3193,25\2037,55","3358,25\2027,55",5\0
"Маршала Жукова пр., д.30, к.2е","1045\909,05","1147\901,05",10\-1
"Маршала Жукова пр., д.30, к.2ж","1925,3\1378,95","2089,3\1357,95",9\-2
"Маршала Жукова пр., д.32, к.1","3259,54\2061,75","3490,14\1815,75",7\-12
"Маршала Жукова пр., д.34, к.1а","1570,3\1177,3","1767,3\1324,3",13\12
"Маршала Жукова пр., д.34, к.1б","417,5\94,3",349\71,-16\-25
"Маршала Жукова пр., д.34, к.1в","1914,85\1725,35","1983,85\1729,35",4\0
"Маршала Жукова пр., д.34, к.1г","871,7\722,95","1012,22\709,95",16\-2
"Маршала Жукова пр., д.34, к.1д","711,13\160,6",674\137,-5\-15
"Маршала Жукова пр., д.34, к.1е","1093,12\246,87","1022,75\206,75",-6\-16
"Маршала Казакова ул., д.1, к.2","1507,6\1181,45","1657,6\1139,45",10\-4
"Маршала Казакова ул., д.3, к.1","1134,65\731,75","1602,65\729,75",41\0
"Маршала Казакова ул., д.5, к.1а","788,12\679,75","800,915\615,75",2\-9
"Маршала Казакова ул., д.5, к.1б","1586,19\1494,85","1645,39\1310,85",4\-12
"Маршала Казакова ул., д.10, к.1а","1809,98\1168,5","1855,5\798,5",3\-32
"Маршала Казакова ул., д.10, к.1б","1024,77\730,45","1232,4\759,45",20\4
"Маршала Казакова ул., д.10, к.1в","1456,51\1053,1","1608,23\964,1",10\-8
"Маршала Казакова ул., д.10, к.1д","1163,13\1055","1465,76\1057",26\0
"Маршала Казакова ул., д.13","660,55\394,4","667,55\379,4",1\-4
"Метростроевцев ул., д.2","321,58\311,9","288,33\242,9",-10\-22
"Метростроевцев ул., д.3","90,75\70,25","71,75\53,25",-21\-24
"Морской пехоты ул., д.4","1929,8\1279","2300,8\1400",19\9
"Морской пехоты ул., д.6, к.1","1574,07\521,75","1359,07\430,75",-14\-17
"Морской пехоты ул., д.10, к.1","2010,95\1031,2","1970,95\966,2",-2\-6
"Морской пехоты ул., д.14","1582,3\956,6","1633,3\965,6",3\1
"Народного ополчения пр., д.7","352,6\177,55","489,6\222,55",39\25
"Новаторов бул., д.1","201,47\196,3","313,065\262,3",55\34
"Новаторов бул., д.3","212,1\98,75","212,1\105,75",0\7
"Новоовсянниковская ул., д.9","78,65\43,25","13,65\7,25",-83\-83
"Новоовсянниковская ул., д.13","15,25\12,35","46,25\17,35",203\40
"Новостроек ул., д.8","96,6\56,35","96,6\56,35",0\0
"Новостроек ул., д.20","209,75\142,35","204,75\138,35",-2\-3
"Новостроек ул., д.25","279,78\166,45","278,93\165,45",0\-1
"Новостроек ул., д.27","65,45\33,8","74,45\40,8",14\21
"Новостроек ул., д.28","109,55\60,75","132,55\78,75",21\30
"Новостроек ул., д.29","194,14\114,85","213,69\125,85",10\10
"Новостроек ул., д.31","281,9\0","281,9\0",0\-
"Новостроек ул., д.33","164,75\104,9","175,75\104,9",7\0
"Новостроек ул., д.35","172,76\104,65","239,06\140,65",38\34
"Оборонная ул., д.3","135,6\103,4","136,6\103,4",1\0
"Оборонная ул., д.4","600,8\990,85","1011,8\108,85",68\-89
"Оборонная ул., д.5","432\427,2","442\332,2",2\-22
"Оборонная ул., д.6","403,1\5,95","41\27,95",-90\370
"Оборонная ул., д.7/20","43,95\26,95","41,95\23,95",-5\-11
"Оборонная ул., д.14","65,15\99,05","65,15\97,05",0\-2
"Оборонная ул., д.15","1,15\1,15","1,15\1,15",0\0
"Оборонная ул., д.17/13","86,7\11,05","90,7\125,05",5\1032
"Оборонная ул., д.19","62,7\3,3","146,7\205,3",134\6121
"Оборонная ул., д.20/18","118,35\57,8","55,35\34,8",-53\-40
"Оборонная ул., д.23/17","75,95\37,85","73,95\38,85",-3\3
"Оборонная ул., д.27","79,6\36,2","68,6\36,2",-14\0
"Огородный пер., д.4, к.3","350,55\294,1","434,55\319,1",24\9
"Огородный пер., д.6, к.1","287,45\149","304,45\151",6\1
"Огородный пер., д.6, к.2",,49\25,-\-
"Промышленная ул., д.12","25,9\19,85","60,9\48,85",135\146
"Промышленная ул., д.26","109,7\45,75","140,7\116,75",28\155
"Промышленная ул., д.28","137,55\66","89,55\19",-35\-71
"Промышленная ул., д.30","16,55\13,35","21,55\6,35",30\-52
"Промышленная ул., д.34","70,6\24,45","70,6\26,45",0\8
"Промышленная ул., д.36","68,15\33,65","16,15\7,65",-76\-77
"Промышленная ул., д.38","16,95\7,9","5,95\3,9",-65\-51
"Севастопольская ул., д.6","136,85\67,85","141,85\67,85",4\0
"Севастопольская ул., д.34","37,1\31,6","90,1\38,6",143\22
"Стачек пр., д.1","137\468,6","511,15\85,6",273\-82
"Стачек пр., д.2/2","67,8\71,3","84,8\71,3",25\0
"Стачек пр., д.4/1",164\59,148\109,-10\85
"Стачек пр., д.6","90,39\67,15","83,95\62,15",-7\-7
"Стачек пр., д.8/2","23,95\27,7","30,95\25,7",29\-7
"Стачек пр., д.8а","386,4\131,68","157,16\0",-59\-100
"Стачек пр., д.9","187,95\95,05","172,95\88,05",-8\-7
"Стачек пр., д.10","159,65\144,1","180,65\144,1",13\0
"Стачек пр., д.11","249,3\286,1","272,91\258,1",9\-10
"Стачек пр., д.17","519,04\232,1","293,96\521,1",-43\125
"Стачек пр., д.19","872,85\429,55","1450,9\535,55",66\25
"Стачек пр., д.21","2062,28\860,1","2106,9\1001,1",2\16
"Стачек пр., д.22","165,7\159,95","140,7\108,95",-15\-32
"Стачек пр., д.22а","974,95\390,9","784,95\318,9",-19\-18
"Стачек пр., д.23","687,9\389,5","1254,9\644,5",82\65
"Стачек пр., д.24",208\108,403\199,94\84
"Стачек пр., д.29","261,95\173,9","222,95\95,9",-15\-45
"Стачек пр., д.33/2","63,7\93,5","69,7\34,5",9\-63
"Стачек пр., д.34, к.2","113,3\59,75","123,3\65,75",9\10
"Стачек пр., д.35","94,05\77,45","94,05\63,45",0\-18
"Стачек пр., д.41","701,3\511,55","650,3\390,55",-7\-24
"Стачек пр., д.42",38\42,38\42,0\0
"Стачек пр., д.95, к.1","2550,25\2289,15","3781,25\1465,15",48\-36
"Стачек пр., д.101, к.1а","1532,36\977,95","1749,99\1066,95",14\9
"Стачек пр., д.101, к.1б","417,61\601,35","742,007\814,35",78\35
"Стачек пр., д.101, к.1в","2219,1\1329,25","2408,1\1466,25",9\10
