"Маршала Говорова ул., д.15","105,968\104,75","111,888\110,75",6\6
"Маршала Говорова ул., д.16","4630,4\1730,15","5821,4\2265,15",26\31
"Маршала Говорова ул., д.17","117,041\81,3","107,741\71,3",-8\-12
"Маршала Говорова ул., д.21","372,75\194,9","406,75\214,9",9\10
"Маршала Говорова ул., д.22/10","587,88\371","615,48\385",5\4
"Маршала Говорова ул., д.22, к.2","128,296\104,25","148,046\116,25",15\12
"Маршала Говорова ул., д.23","171,55\83,95","210,55\104,95",23\25
"Маршала Говорова ул., д.24","598,35\359,8","788,35\461,8",32\28
"Маршала Говорова ул., д.26, к.2","236,35\120,85","226,35\115,85",-4\-4
"Маршала Жукова пр., д.18а","1249,95\553,2","1196,95\531,2",-4\-4
"Маршала Жукова пр., д.18б","3132,99\1261,6","3100,89\1455,6",-1\15
"Маршала Жукова пр., д.18в","3393,85\1648,6","3519,85\1720,6",4\4
"Маршала Жукова пр., д.18г","1797,39\891","1852,57\1004",3\13
"Маршала Жукова пр., д.18д","1308,65\642,1","1292,65\641,1",-1\0
"Маршала Жукова пр., д.26/16а","1129,45\712,25","1129,45\712,25",0\0
"Маршала Жукова пр., д.26/16б","2209,46\1102,3","2171,12\1102,3",-2\0
"Маршала Жукова пр., д.26/16в","2515,96\1564,6","2480,98\1564,6",-1\0
"Маршала Жукова пр., д.28, к.1","2681,87\1552,9","2654,29\1552,9",-1\0
"Маршала Жукова пр., д.30, к.2а",1818\942,1818\942,0\0
"Маршала Жукова пр., д.30, к.2б","165,5\99,05","165,5\99,05",0\0
"Маршала Жукова пр., д.30, к.2в","4298\2006,95","4298\2006,95",0\0
"Маршала Жукова пр., д.30, к.2г","2463,45\1456,25","2463,45\1456,25",0\0
"Маршала Жукова пр., д.30, к.2д","4019,25\2013,55","4019,25\2013,55",0\0
"Маршала Жукова пр., д.30, к.2е","1792\1218,05","1792\1218,05",0\0
"Маршала Жукова пр., д.30, к.2ж","2740,3\1382,95","2740,3\1382,95",0\0
"Маршала Жукова пр., д.32, к.1","4990,71\2203,75","4639,51\2072,75",-7\-6
"Маршала Жукова пр., д.34, к.1а","2312,3\1389,3","2256,3\1356,3",-2\-2
"Маршала Жукова пр., д.34, к.1б","361,4\77,47",351\78,-3\1
"Маршала Жукова пр., д.34, к.1в","2593,85\1943,35","2556,85\1990,35",-1\2
"Маршала Жукова пр., д.34, к.1г","1455,5\834,95","1454,38\869,95",0\4
"Маршала Жукова пр., д.34, к.1д","697,93\149,61",678\152,-3\2
"Маршала Жукова пр., д.34, к.1е","1057,42\226,67","1028,75\230,75",-3\2
"Маршала Казакова ул., д.1, к.2","1960,6\1157,45","2032,6\1187,45",4\3
"Маршала Казакова ул., д.3, к.1","1630,65\689,75","1525,65\645,75",-6\-6
"Маршала Казакова ул., д.5, к.1а","936,415\592,75","872,415\594,75",-7\0
"Маршала Казакова ул., д.5, к.1б","1623,29\989,85","1732,59\1153,85",7\17
"Маршала Казакова ул., д.10, к.1а","1096,98\759,5","1268,65\991,5",16\31
"Маршала Казакова ул., д.10, к.1б","1265,7\647,45","1396,86\802,45",10\24
"Маршала Казакова ул., д.10, к.1в","1962,29\954,1","1687,49\837,1",-14\-12
"Маршала Казакова ул., д.10, к.1д","1463,48\884","1410,21\981",-4\11
"Маршала Казакова ул., д.13","689,55\359,4","1902,12\680,4",176\89
"Метростроевцев ул., д.2","391,875\260,9","424,175\282,9",8\8
"Метростроевцев ул., д.3","116,75\75,25",80\54,-31\-28
"Морской пехоты ул., д.4","2477,8\1263","2487,8\1367",0\8
"Морской пехоты ул., д.6, к.1","1451,27\435,75","1947,95\570,75",34\31
"Морской пехоты ул., д.10, к.1","2191,95\1049,2","2306,95\1187,2",5\13
"Морской пехоты ул., д.14","1457,3\796,6","1534,3\875,6",5\10
"Народного ополчения пр., д.7","375,6\174,55","523,6\240,55",39\38
"Новаторов бул., д.1","350,865\269,3","448,065\319,3",28\19
"Новаторов бул., д.3","212,1\107,75","214,1\104,75",1\-3
"Новоовсянниковская ул., д.9","30,65\15,25","24,65\11,25",-20\-26
"Новоовсянниковская ул., д.13","59,25\30,35","51,25\26,35",-14\-13
"Новоовсянниковская ул., д.19, к.2",42\21,38\19,-10\-10
"Новостроек ул., д.8","96,6\56,35","44,6\24,35",-54\-57
"Новостроек ул., д.20","242,75\137,35","287,75\161,35",19\17
"Новостроек ул., д.25","259,378\156,45","335,878\198,45",29\27
"Новостроек ул., д.27","39,45\17,8","76,45\40,8",94\129
"Новостроек ул., д.28","147,55\80,75","172,55\93,75",17\16
"Новостроек ул., д.29","208,59\123,85","191,59\114,85",-8\-7
"Новостроек ул., д.31","281,9\0","345,1\205",22\-
"Новостроек ул., д.33","229,75\136,9","268,75\164,9",17\20
"Новостроек ул., д.35","222,063\152,65","233,963\159,65",5\5
"Оборонная ул., д.3","256,6\140,4","288,6\163,4",12\16
"Оборонная ул., д.4","715,8\360,85","501,8\256,85",-30\-29
"Оборонная ул., д.5","496\300,2","715\416,2",44\39
"Оборонная ул., д.6","40,1\27,95","81,1\32,95",102\18
"Оборонная ул., д.7/20","90,95\47,95","24,95\12,95",-73\-73
"Оборонная ул., д.14","66,81\98,05","116,15\67,05",74\-32
"Оборонная ул., д.17/13","86,7\41,05","57,7\28,05",-33\-32
"Оборонная ул., д.19","96,7\62,3","102,7\55,3",6\-11
"Оборонная ул., д.20/18","87,35\42,8","96,35\46,8",10\9
"Оборонная ул., д.23/17","89,95\45,85","74,95\58,85",-17\28
"Оборонная ул., д.27","66,26\41,2","79,6\42,2",20\2
"Огородный пер., д.4, к.3","337,55\211,1","605,55\343,1",79\63
"Огородный пер., д.6, к.1","241,45\109","306,45\155",27\42
"Огородный пер., д.6, к.2",637\320,518\255,-19\-20
"Огородный пер., д.11",,121\28,-\-
"Промышленная ул., д.12","50,9\26,85","4,9\28,85",-90\7
"Промышленная ул., д.26","123,7\42,75","150,7\82,75",22\94
"Промышленная ул., д.28","62,55\23","70,55\36",13\57
"Промышленная ул., д.30","18,55\10,35","19,55\10,35",5\0
"Промышленная ул., д.34","82,6\40,45","84,6\41,45",2\2
"Промышленная ул., д.36","52,15\26,65","80,15\40,65",54\53
"Промышленная ул., д.38","18,95\5,9","19,95\9,9",5\68
"Севастопольская ул., д.6","100,85\48,85","94,85\46,85",-6\-4
"Севастопольская ул., д.34","42,1\27,6","33,1\17,6",-21\-36
"Севастопольская ул., д.43","39,8\18,4","38,8\20,4",-3\11
"Стачек пр., д.1","372,12\164,6","784,15\300,6",111\83
"Стачек пр., д.2/2","136,8\71,3","114,8\64,3",-16\-10
"Стачек пр., д.4/1",137\72,170\88,24\22
"Стачек пр., д.6","83,03\60,15","83,03\60,15",0\0
"Стачек пр., д.8/2","48,95\31,7","74,95\45,7",53\44
"Стачек пр., д.8а","207,56\17,175","157,16\0",-24\-100
"Стачек пр., д.9","189,95\96,05","190,95\97,05",1\1
"Стачек пр., д.10","200,65\138,1","253,65\179,1",26\30
"Стачек пр., д.11","324,08\226,1","489,392\310,1",51\37
"Стачек пр., д.17","271,762\101,1","274,26\128,1",1\27
"Стачек пр., д.19","1273,85\546,55","1434,85\643,55",13\18
"Стачек пр., д.21","2682,7\749,1","2386,88\1258,1",-11\68
"Стачек пр., д.22","191,7\119,95","150,7\93,95",-21\-22
"Стачек пр., д.22а","894,95\383,9","811,95\326,9",-9\-15
"Стачек пр., д.23","1052,9\525,5","967,9\515,5",-8\-2
"Стачек пр., д.24",471\257,511\264,8\3
"Стачек пр., д.27",60\34,54\31,-10\-9
"Стачек пр., д.29","257,95\139,9","245,95\130,9",-5\-6
"Стачек пр., д.33/2","116,7\82,5","139,7\89,5",20\8
"Стачек пр., д.34, к.1",150\78,135\70,-10\-10
"Стачек пр., д.34, к.2","64,3\33,75","87,3\44,75",36\33
"Стачек пр., д.35","87,05\54,45","113,05\54,45",30\0
"Стачек пр., д.38","24,05\13,2","14,05\7,2",-42\-45
"Стачек пр., д.41","478,3\279,55","338,3\203,55",-29\-27
"Стачек пр., д.42",33\24,40\30,21\25
"Стачек пр., д.95, к.1","3704,25\1845,15","3797,25\1942,15",3\5
"Стачек пр., д.101, к.1а","2031,82\961,95","2040,98\1194,95",0\24
"Стачек пр., д.101, к.1б","1035,39\791,35","1019,69\789,35",-2\0
"Стачек пр., д.101, к.1в","2592,1\1346,25","2685,1\1376,25",4\2
"Стачек пр., д.101, к.1г","1630,9\1109,4","1822,9\1195,4",12\8
"Стачек пр., д.101, к.1д","1579,55\841,3","1733,55\935,3",10\11
"Стачек пр., д.102","55,95\31,2","97,95\44,2",75\42
"Стачек пр., д.103, к.1","2157,96\2085,15","2209,27\1963,15",2\-6
"Стачек пр., д.105, к.2а","1353,2\765","1195,2\665",-12\-13
"Стачек пр., д.105, к.2б","3236,22\1964,35","3278,55\1884,35",1\-4
"Стачек пр., д.105, к.2в","3700\1702,15","3596\1639,15",-3\-4
"Стачек пр., д.105, к.2г","1814,7\1190,45","1800,7\1196,45",-1\1
"Стачек пр., д.105, к.2д","4279,3\2426,7","4246,39\2513,7",-1\4
"Стачек пр., д.105, к.2е","2419,48\1314,15","2361,81\1303,15",-2\-1
"Стачек пр., д.105, к.2ж","3674,54\1655,85","3495,34\1684,85",-5\2
"Стачек пр., д.105, к.2з","2183,58\1204,9","2292,79\1293,9",5\7
"Стачек пр., д.107, к.1","1775,13\901,85","1760,33\901,85",-1\0
"Тракторная ул., д.3",120\77,162\102,35\32
"Тракторная ул., д.4","81,75\40,15","101,75\51,15",24\27
"Тракторная ул., д.4а","167,45\126,6","201,45\145,6",20\15
"Тракторная ул., д.5","160,9\100,9","186,9\112,9",16\12
"Тракторная ул., д.6","80,3\52,05","99,3\64,05",24\23
"Тракторная ул., д.6, к.2","62,85\38","68,85\40",10\5
"Тракторная ул., д.7","112,45\65,4","137,45\78,4",22\20
"Тракторная ул., д.8","117,45\76,1","171,45\110,1",46\45
"Тракторная ул., д.9","292,55\166,6","398,55\221,6",36\33
"Тракторная ул., д.10","75,1\58","97,1\70",29\21
"Тракторная ул., д.11",,213\107,-\-
"Тракторная ул., д.12","202,7\170,15","351,7\207,15",74\22
"Тракторная ул., д.13","217,4\115,55","344,4\183,55",58\59
"Тракторная ул., д.15","188,7\98,45","237,7\130,45",26\33
"Трамвайный пр., д.5","321,7\228","383,7\281",19\23
"Трамвайный пр., д.7, к.1","227,65\160,65","150,65\96,65",-34\-40
"Трамвайный пр., д.7, к.2","575,9\288,75","467,9\237,75",-19\-18
"Трамвайный пр., д.9, к.1","282,5\201,4","288,5\213,4",2\6
"Трамвайный пр., д.9, к.2","206,15\109,25","213,15\112,25",3\3
"Трамвайный пр., д.11, к.1","16,3\10,3","9,3\5,3",-43\-49
"Трамвайный пр., д.11, к.2","120,45\69,5","135,45\81,5",12\17
"Трамвайный пр., д.11, к.3","182,8\37,65","76,8\21,65",-58\-42
"Трамвайный пр., д.11, к.6","746,65\333,15","731,65\290,15",-2\-13
"Трамвайный пр., д.13, к.1",93\48,96\50,3\4
"Трамвайный пр., д.13, к.2","81,5\55,95","78,5\58,95",-4\5
"Трамвайный пр., д.13, к.3","76,35\41,25","145,35\77,25",90\87
"Трамвайный пр., д.15, к.1","256,15\191,05","293,15\212,05",14\11
"Трамвайный пр., д.15, к.2","110,05\68,45","143,05\84,45",30\23
"Трамвайный пр., д.15, к.3","179,2\139,5","187,2\145,5",4\4
"Трамвайный пр., д.17","132,9\88,7","102,9\67,7",-23\-24
"Трефолева ул., д.3","1147,55\503,45","981,55\433,45",-14\-14
"Трефолева ул., д.5","346,6\211,95","295,6\176,95",-15\-17
"Трефолева ул., д.11","61,3\31,35","58,3\31,35",-5\0
"Трефолева ул., д.15",644\391,1005\520,56\33
"Трефолева ул., д.16",223\145,217\141,-3\-3
"Трефолева ул., д.22/25","2181,45\900,3","1858,01\814,3",-15\-10
"Трефолева ул., д.26","143,15\76,55",116\63,-19\-18
"Турбинная ул., д.11","150,45\145,1","82,45\360",-45\148
"Тургеневский пер., д.3",15\6,44\21,193\250
"Тургеневский пер., д.5","77,75\49,95","116,75\65,95",50\32
"Урюпин пер., д.2/6",",01\0",",001\0",-90\-
"Урюпин пер., д.5","316,45\220,35","398,45\264,35",26\20
"Швецова ул., д.4","7,65\4,05",",001\0",-100\-100
"Швецова ул., д.6","73,35\36,25",112\57,53\57
"Швецова ул., д.10","840,85\582,75","1242,85\820,75",48\41
"Швецова ул., д.11","608,35\1465,85","1265,35\287,85",108\-80
"Швецова ул., д.17",383\177,331\160,-14\-10
"Швецова ул., д.19","1110,24\75","852,39\414",-23\452
"Шотландская ул., д.3","1548,6\606,65","1564,6\627,65",1\3
