"Новостроек ул., д.29","164,5\96","181,05\108",10\13
"Новостроек ул., д.31","245,65\147",255\153,4\4
"Новостроек ул., д.33",188\144,160\111,-15\-23
"Новостроек ул., д.35","242,25\159","310,3\202",28\27
"Оборонная ул., д.3",81\99,98\131,21\32
"Оборонная ул., д.4",727\384,1272\628,75\64
"Оборонная ул., д.5",254\230,224\249,-12\8
"Оборонная ул., д.6",",01\0",4\1,39900\-
"Оборонная ул., д.7/20",210\116,146\95,-30\-18
"Оборонная ул., д.14",97\47,85\43,-12\-9
"Оборонная ул., д.17/13",61\32,57\29,-7\-9
"Оборонная ул., д.19",113\16,96\47,-15\194
"Оборонная ул., д.20/18",80\49,85\43,6\-12
"Оборонная ул., д.23/17",41\43,40\21,-2\-51
"Оборонная ул., д.27",76\39,50\25,-34\-36
"Огородный пер., д.4, к.3",255\199,279\234,9\18
"Огородный пер., д.6, к.1",311\144,312\158,0\10
"Огородный пер., д.6, к.2","562,17\0",356\199,-37\-
"Огородный пер., д.11",119\34,532\193,347\468
"Промышленная ул., д.12",89\60,"81,4\38,5",-9\-36
"Промышленная ул., д.26",115\69,116\68,1\-1
"Промышленная ул., д.28",80\40,74\37,-8\-8
"Промышленная ул., д.30",8\0,44\13,450\-
"Промышленная ул., д.34",58\37,69\42,19\14
"Промышленная ул., д.36",28\14,31\16,11\14
"Промышленная ул., д.38",3\15,19\4,533\-73
"Севастопольская ул., д.6",87\43,90\45,3\5
"Севастопольская ул., д.34",54\14,42\45,-22\221
"Севастопольская ул., д.43",16\44,16\24,0\-45
"Стачек пр., д.1","418,97\68","1011,6\212",141\212
"Стачек пр., д.2/2",39\38,107\40,174\5
"Стачек пр., д.4/1",150\90,154\93,3\3
"Стачек пр., д.6","59,8\84",55\79,-8\-6
"Стачек пр., д.8/2","35\29,2",32\28,-9\-4
"Стачек пр., д.8а","157,16\0","157,2\0",0\-
"Стачек пр., д.9",407\289,587\389,44\35
"Стачек пр., д.10",134\145,"103,4\130,9",-23\-10
"Стачек пр., д.11","142,68\176","152,52\221",7\26
"Стачек пр., д.15",34\28,"26,4\20,9",-22\-25
"Стачек пр., д.17","562,806\313","691,6\341",23\9
"Стачек пр., д.19",669\367,707\396,6\8
"Стачек пр., д.21","1660,23\637",2080\825,25\30
"Стачек пр., д.22",107\91,76\98,-29\8
"Стачек пр., д.22а",919\749,"886,17\825",-4\10
"Стачек пр., д.23",595\313,1075\494,81\58
"Стачек пр., д.24",547\286,67\45,-88\-84
"Стачек пр., д.27",63\51,"46,5\45",-26\-12
