"Маршала Жукова пр., д.30, к.2в","4416,3\1714,3",2465\1266,-44\-26
"Маршала Жукова пр., д.30, к.2г","695,32\1089,3",1047\1027,51\-6
"Маршала Жукова пр., д.30, к.2д","4073,2\1682,3",2259\1304,-45\-22
"Маршала Жукова пр., д.30, к.2е","524,3\2156,3",838\751,60\-65
"Маршала Жукова пр., д.30, к.2ж","2577,3\1080,27",1331\831,-48\-23
"Маршала Жукова пр., д.32, к.1","3974,96\1905","2478,96\1483",-38\-22
"Маршала Жукова пр., д.34, к.1а",1678\1339,1113\1065,-34\-20
"Маршала Жукова пр., д.34, к.1б",352\69,295\65,-16\-6
"Маршала Жукова пр., д.34, к.1в",1389\1902,1038\1427,-25\-25
"Маршала Жукова пр., д.34, к.1г","958,12\784","642,12\528",-33\-33
"Маршала Жукова пр., д.34, к.1д",679\134,570\126,-16\-6
"Маршала Жукова пр., д.34, к.1е","1028,89\204","864,89\190",-16\-7
"Маршала Казакова ул., д.1, к.2",1556\974,1238\698,-20\-28
"Маршала Казакова ул., д.3, к.1",1685\595,1395\516,-17\-13
"Маршала Казакова ул., д.5, к.1а","508,81\734","713,81\589",40\-20
"Маршала Казакова ул., д.5, к.1б","1976,1\1385","1371,1\1035",-31\-25
"Маршала Казакова ул., д.10, к.1а","1655,86\1106","1369,86\944",-17\-15
"Маршала Казакова ул., д.10, к.1б","1396,39\973","1036,39\752",-26\-23
"Маршала Казакова ул., д.10, к.1в","1465,54\1236","1131,54\1091",-23\-12
"Маршала Казакова ул., д.10, к.1д","1079,11\801","808,11\131",-25\-84
"Маршала Казакова ул., д.13","2249,75\822","1829,75\750",-19\-9
"Метростроевцев ул., д.2","120,62\180","195,62\264",62\47
"Метростроевцев ул., д.3",42\38,55\61,31\61
"Морской пехоты ул., д.4",2710\1496,2324\1234,-14\-18
"Морской пехоты ул., д.6, к.1",1680\507,1396\442,-17\-13
"Морской пехоты ул., д.10, к.1",2741\1253,2295\1022,-16\-18
"Морской пехоты ул., д.14",1307\824,1063\660,-19\-20
"Новаторов бул., д.1","165,6\191","122,6\172",-26\-10
"Новаторов бул., д.3",186\192,170\185,-9\-4
"Новоовсянниковская ул., д.9",190\100,300\200,58\100
"Новоовсянниковская ул., д.13",62\30,23\13,-63\-57
"Новостроек ул., д.8",30\18,58\26,93\44
"Новостроек ул., д.20",157\119,191\138,22\16
"Новостроек ул., д.25","36,18\130","72,18\144",100\11
"Новостроек ул., д.27",500\300,400\300,-20\0
"Новостроек ул., д.28",147\104,129\88,-12\-15
"Новостроек ул., д.29",148\74,153\85,3\15
"Новостроек ул., д.31","72,8\132","27,8\109",-62\-17
"Новостроек ул., д.33",94\59,121\76,29\29
"Новостроек ул., д.35",118\59,145\58,23\-2
"Оборонная ул., д.3",96\87,96\139,0\60
"Оборонная ул., д.4",760\196,804\610,6\211
"Оборонная ул., д.5",336\239,430\358,28\50
"Оборонная ул., д.6",73\45,72\38,-1\-16
"Оборонная ул., д.7/20",63\32,21\11,-67\-66
"Оборонная ул., д.14","101,77\70","92,77\65",-9\-7
"Оборонная ул., д.15",5\6,5\6,0\0
"Оборонная ул., д.17/13",91\75,74\54,-19\-28
"Оборонная ул., д.19","127,61\124","113,61\105",-11\-15
"Оборонная ул., д.20/18",6\36,38\35,533\-3
"Оборонная ул., д.23/17",172\57,83\45,-52\-21
"Оборонная ул., д.27","19,97\44",57\29,185\-34
"Огородный пер., д.4, к.3",335\225,352\271,5\20
"Огородный пер., д.6, к.1",585\297,696\349,19\18
"Промышленная ул., д.26",126\72,87\47,-31\-35
"Промышленная ул., д.28",83\42,76\37,-8\-12
"Промышленная ул., д.30",12\7,12\7,0\0
"Промышленная ул., д.34",78\43,57\31,-27\-28
"Промышленная ул., д.36",57\28,34\17,-40\-39
"Промышленная ул., д.38",33\16,33\16,0\0
"Севастопольская ул., д.6",400\100,300\12,-25\-88
"Севастопольская ул., д.34",54\35,36\23,-33\-34
"Стачек пр., д.1",486\534,372\449,-23\-16
"Стачек пр., д.2/2",53\30,72\39,36\30
"Стачек пр., д.4/1","337,01\0",377\0,12\-
"Стачек пр., д.6","28,81\36","73,81\50",156\39
"Стачек пр., д.9","52,01\83","124,01\119",138\43
"Стачек пр., д.10",63\84,101\154,60\83
"Стачек пр., д.11","81,81\201","88,81\249",9\24
"Стачек пр., д.17","184,74\370",150\110,-19\-70
"Стачек пр., д.19","541,17\431","523,17\408",-3\-5
"Стачек пр., д.21",4062\1511,"3484,41\1115",-14\-26
"Стачек пр., д.22",73\67,115\139,58\107
"Стачек пр., д.22а",498\201,852\339,71\69
"Стачек пр., д.23",954\560,636\366,-33\-35
