"Стачек пр., д.105, к.2д","3489,8\2150","3825,4\2232",10\4
"Стачек пр., д.105, к.2е","1962,2\1233","2214,6\1262",13\2
"Стачек пр., д.105, к.2ж","3329,4\1636","3687,8\1734",11\6
"Стачек пр., д.105, к.2з","2161,2\1032","2528,5\1382",17\34
"Стачек пр., д.107, к.1","1585,6\848","1658,2\883",5\4
"Тракторная ул., д.3",58\71,60\73,3\3
"Тракторная ул., д.4",95\42,75\35,-21\-17
"Тракторная ул., д.4а",284\224,290\192,2\-14
"Тракторная ул., д.5",133\91,176\102,32\12
"Тракторная ул., д.6",56\40,97\57,73\43
"Тракторная ул., д.6, к.2",30\17,76\43,153\153
"Тракторная ул., д.7",129\77,186\101,44\31
"Тракторная ул., д.8",202\140,173\116,-14\-17
"Тракторная ул., д.9",171\110,240\144,40\31
"Тракторная ул., д.10",102\80,67\45,-34\-44
"Тракторная ул., д.12",227\199,174\266,-23\34
"Тракторная ул., д.13",133\76,278\150,109\97
"Тракторная ул., д.15",215\297,682\208,217\-30
"Трамвайный пр., д.5","274,8\0",275\0,0\-
"Трамвайный пр., д.7, к.1",230\197,167\118,-27\-40
"Трамвайный пр., д.7, к.2",709\363,433\224,-39\-38
"Трамвайный пр., д.9, к.1",278\234,226\162,-19\-31
"Трамвайный пр., д.9, к.2",230\120,144\77,-37\-36
"Трамвайный пр., д.11, к.1",108\73,90\58,-17\-21
"Трамвайный пр., д.11, к.2",173\128,178\113,3\-12
"Трамвайный пр., д.11, к.3",276\0,277\0,0\-
"Трамвайный пр., д.11, к.6",831\353,559\242,-33\-31
"Трамвайный пр., д.13, к.1",106\76,109\79,3\4
"Трамвайный пр., д.13, к.2",68\61,57\39,-16\-36
"Трамвайный пр., д.13, к.3",85,107,26
"Трамвайный пр., д.15, к.1",239\188,209\150,-13\-20
"Трамвайный пр., д.15, к.2",202\123,140\76,-31\-38
"Трамвайный пр., д.15, к.3",173\144,128\91,-26\-37
"Трамвайный пр., д.17",93\69,75\46,-19\-33
"Трефолева ул., д.3",1305\579,823\355,-37\-39
"Трефолева ул., д.5",345\249,254\154,-26\-38
"Трефолева ул., д.11",30\11,44\22,47\100
"Трефолева ул., д.15",583\317,493\264,-15\-17
