"НОВОСТРОЕК УЛ., д.20",141\100,145\99,3\-1
"НОВОСТРОЕК УЛ., д.25",17\117,72\146,324\25
"НОВОСТРОЕК УЛ., д.27",0\26,400\300,-\1054
"НОВОСТРОЕК УЛ., д.28",147\112,157\108,7\-4
"НОВОСТРОЕК УЛ., д.29",17\111,23\113,35\2
"НОВОСТРОЕК УЛ., д.31",78\133,147\165,88\24
"НОВОСТРОЕК УЛ., д.33",136\118,157\124,15\5
"НОВОСТРОЕК УЛ., д.35",63\42,99\54,57\29
"ОБОРОННАЯ УЛ., д.3",8\283,8\283,0\0
"ОБОРОННАЯ УЛ., д.4",510\324,448\293,-12\-10
"ОБОРОННАЯ УЛ., д.5",,132\132,-\-
"ОБОРОННАЯ УЛ., д.6",231\5,143\11,-38\120
"ОБОРОННАЯ УЛ., д.7/20",5\21,5\21,0\0
"ОБОРОННАЯ УЛ., д.14",124\70,69\50,-44\-29
"ОБОРОННАЯ УЛ., д.15",5\6,5\6,0\0
"ОБОРОННАЯ УЛ., д.17/13",71\122,34\43,-52\-65
"ОБОРОННАЯ УЛ., д.19",50\23,55\25,10\9
"ОБОРОННАЯ УЛ., д.20/18",89\43,89\43,0\0
"ОБОРОННАЯ УЛ., д.23/17",95\54,76\43,-20\-20
"ОБОРОННАЯ УЛ., д.27",70\35,85\42,21\20
"ОГОРОДНЫЙ ПЕР., д.4, корп.3",277\208,268\210,-3\1
"ОГОРОДНЫЙ ПЕР., д.6, корп.1",740\363,708\358,-4\-1
"ПРОМЫШЛЕННАЯ УЛ., д.26",142\73,48\51,-66\-30
"ПРОМЫШЛЕННАЯ УЛ., д.28",88\45,65\33,-26\-27
"ПРОМЫШЛЕННАЯ УЛ., д.30",19\13,23\1,21\-92
"ПРОМЫШЛЕННАЯ УЛ., д.34",78\42,59\31,-24\-26
"ПРОМЫШЛЕННАЯ УЛ., д.36",21\11,12\6,-43\-45
"ПРОМЫШЛЕННАЯ УЛ., д.38",30\14,32\17,7\21
"СЕВАСТОПОЛЬСКАЯ УЛ., д.6",200\0,200\0,0\-
"СЕВАСТОПОЛЬСКАЯ УЛ., д.34",10\3,9\2,-10\-33
"СТАЧЕК ПР., д.1",297\31,223\321,-25\935
"СТАЧЕК ПР., д.2/2",64\46,66\58,3\26
"СТАЧЕК ПР., д.4/1",104\114,104\114,0\0
"СТАЧЕК ПР., д.6",20\82,5\100,-75\22
"СТАЧЕК ПР., д.9",,"106,01\151",-\-
"СТАЧЕК ПР., д.10",,83\145,-\-
"СТАЧЕК ПР., д.11",3\3,354\240,11700\7900
"СТАЧЕК ПР., д.17",570\376,264\249,-54\-34
"СТАЧЕК ПР., д.19",843\563,532\438,-37\-22
"СТАЧЕК ПР., д.21",2839\1336,1966\923,-31\-31
"СТАЧЕК ПР., д.22",29\53,116\58,300\9
"СТАЧЕК ПР., д.22А",717\350,937\506,31\45
"СТАЧЕК ПР., д.23",896\458,639\291,-29\-36
"СТАЧЕК ПР., д.29",52\62,53\57,2\-8
"СТАЧЕК ПР., д.33/2",397\500,19\2722,-95\444
"СТАЧЕК ПР., д.34, корп.2",109\76,112\78,3\3
"СТАЧЕК ПР., д.35",31\24,30\32,-3\33
"СТАЧЕК ПР., д.41",,367\300,-\-
"СТАЧЕК ПР., д.42",9\19,12\16,33\-16
"СТАЧЕК ПР., д.95, корп.1",1132\709,2257\1515,99\114
"СТАЧЕК ПР., д.101, корп.1А",1094\590,931\524,-15\-11
"СТАЧЕК ПР., д.101, корп.1Б",785\2046,821\2031,5\-1
"СТАЧЕК ПР., д.101, корп.1В",2742\1443,2314\1238,-16\-14
"СТАЧЕК ПР., д.101, корп.1Г",1038\645,837\500,-19\-22
"СТАЧЕК ПР., д.101, корп.1Д",1118\690,976\605,-13\-12
"СТАЧЕК ПР., д.103, корп.1",1586\2026,1322\1464,-17\-28
"СТАЧЕК ПР., д.105, корп.2А",683\444,644\422,-6\-5
"СТАЧЕК ПР., д.105, корп.2Б",951\1055,877\829,-8\-21
"СТАЧЕК ПР., д.105, корп.2В",1800\1088,1770\987,-2\-9
"СТАЧЕК ПР., д.105, корп.2Г",948\783,936\668,-1\-15
"СТАЧЕК ПР., д.105, корп.2Д",2518\1317,2510\1184,0\-10
"СТАЧЕК ПР., д.105, корп.2Е",1133\804,1097\730,-3\-9
"СТАЧЕК ПР., д.105, корп.2Ж",2302\1324,2186\1301,-5\-2
"СТАЧЕК ПР., д.105, корп.2З",1054\751,916\660,-13\-12
"СТАЧЕК ПР., д.107, корп.1",733\425,962\457,31\8
"ТРАКТОРНАЯ УЛ., д.3",32\49,30\45,-6\-8
"ТРАКТОРНАЯ УЛ., д.4",21\39,17\41,-19\5
"ТРАКТОРНАЯ УЛ., д.4А",42\318,39\239,-7\-25
"ТРАКТОРНАЯ УЛ., д.5",76\96,69\87,-9\-9
"ТРАКТОРНАЯ УЛ., д.6",127\49,121\42,-5\-14
"ТРАКТОРНАЯ УЛ., д.6, корп.2",27\41,23\35,-15\-15
"ТРАКТОРНАЯ УЛ., д.7",72\114,65\102,-10\-11
