"ПРОМЫШЛЕННАЯ УЛ., д.14","59\0","59\0","0\-"
"ПРОМЫШЛЕННАЯ УЛ., д.16","33\20","21\12","-36\-40"
"ПРОМЫШЛЕННАЯ УЛ., д.26","104\64","105\65","1\2"
"ПРОМЫШЛЕННАЯ УЛ., д.28","162\84","90\47","-44\-44"
"ПРОМЫШЛЕННАЯ УЛ., д.30","46\20","46\19","0\-5"
"ПРОМЫШЛЕННАЯ УЛ., д.34","55\29","52\26","-5\-10"
"ПРОМЫШЛЕННАЯ УЛ., д.36","145\77","109\54","-25\-30"
"ПРОМЫШЛЕННАЯ УЛ., д.38","66\33","24\12","-64\-64"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.6","95\46","100\49","5\7"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.34","114\57","80\42","-30\-26"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.43","31\18","36\14","16\-22"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.45","628\342","628\342","0\0"
"СТАЧЕК ПР., д.1","551\147","474\265","-14\80"
"СТАЧЕК ПР., д.2/2","99\51","118\61","19\20"
"СТАЧЕК ПР., д.4/1","224\138","212\119","-5\-14"
"СТАЧЕК ПР., д.6","829\450","686\384","-17\-15"
"СТАЧЕК ПР., д.8/2","75\47","59\41","-21\-13"
"СТАЧЕК ПР., д.8А","112\0","112\0","0\-"
"СТАЧЕК ПР., д.9","626\309","569\300","-9\-3"
"СТАЧЕК ПР., д.10","198\157","199\135","1\-14"
"СТАЧЕК ПР., д.11","396\298","423\268","7\-10"
"СТАЧЕК ПР., д.13","267\180","294\174","10\-3"
"СТАЧЕК ПР., д.15","46\30","61\33","33\10"
"СТАЧЕК ПР., д.17","844\424","828\403","-2\-5"
"СТАЧЕК ПР., д.19","1148\504","1083\432","-6\-14"
"СТАЧЕК ПР., д.21","2474\992","2467\980","0\-1"
"СТАЧЕК ПР., д.22","243\173","227\130","-7\-25"
"СТАЧЕК ПР., д.22А","1069\407","1036\400","-3\-2"
