"ЗИНЫ ПОРТНОВОЙ УЛ., д.24",109\150,74\126,-32\-16
"ЗИНЫ ПОРТНОВОЙ УЛ., д.26",120\188,83\184,-31\-2
"ЗИНЫ ПОРТНОВОЙ УЛ., д.28",310\167,300\162,-3\-3
"ЗИНЫ ПОРТНОВОЙ УЛ., д.30",236\234,205\229,-13\-2
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.3","255\32,3","183\281,2",-28\771
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.5","577,8\227","571,5\222",-1\-2
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.6, корп.1","370,5\151","367,65\154",-1\2
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.8/17",36\32,41\28,14\-13
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.15","111,6\62","114,39\63",3\2
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.16/24","42,4\29","44,7\30",5\3
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.17/26","35,3\53","18,6\41",-47\-23
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.21",216\72,98\69,-55\-4
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.23",91\27,96\31,5\15
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.25/20",71\49,69\53,-3\8
"ЗОИ КОСМОДЕМЬЯНСКОЙ УЛ., д.29",46\49,27\43,-41\-12
"ИВАНА ЧЕРНЫХ УЛ., д.1","3,5\2","2,6\2",-26\0
"ИВАНА ЧЕРНЫХ УЛ., д.3",701\380,199\110,-72\-71
"ИВАНА ЧЕРНЫХ УЛ., д.3, корп.2",180\91,167\86,-7\-5
"ИВАНА ЧЕРНЫХ УЛ., д.13А",142\86,72\47,-49\-45
"ИВАНА ЧЕРНЫХ УЛ., д.13Б",159\129,126\100,-21\-22
"ИВАНА ЧЕРНЫХ УЛ., д.15А",162\116,104\89,-36\-23
"ИВАНА ЧЕРНЫХ УЛ., д.15Б",48\44,19\33,-60\-25
"ИВАНА ЧЕРНЫХ УЛ., д.19",129\138,93\107,-28\-22
"ИВАНА ЧЕРНЫХ УЛ., д.21","38,3\48","24,4\40",-36\-17
"КАНОНЕРСКИЙ ОСТРОВ, д.7",6135\3166,6190\2957,1\-7
"КАНОНЕРСКИЙ ОСТРОВ, д.8",4172\1457,3907\1268,-6\-13
