"МОРСКОЙ ПЕХОТЫ УЛ., д.14","3500\602","3108\655","-11\9"
"НОВАТОРОВ БУЛЬВАР, д.1","187\297","145\281","-22\-5"
"НОВАТОРОВ БУЛЬВАР, д.3","189\196","186\198","-2\1"
"НОВООВСЯННИКОВСКАЯ УЛ., д.9","201\101","201\107","0\6"
"НОВООВСЯННИКОВСКАЯ УЛ., д.13","18\11","57\33","217\200"
"НОВОСТРОЕК УЛ., д.8","56\32","56\32","0\0"
"НОВОСТРОЕК УЛ., д.20","145\99","127\94","-12\-5"
"НОВОСТРОЕК УЛ., д.25","72\146","175\103","143\-29"
"НОВОСТРОЕК УЛ., д.27","400\300","405\310","1\3"
"НОВОСТРОЕК УЛ., д.28","157\108","119\84","-24\-22"
"НОВОСТРОЕК УЛ., д.29","23\113","19,16\155","-17\37"
"НОВОСТРОЕК УЛ., д.31","147\165","155,81\165","6\0"
"НОВОСТРОЕК УЛ., д.33","157\124","206\124","31\0"
"НОВОСТРОЕК УЛ., д.35","99\54","77\42","-22\-22"
"ОБОРОННАЯ УЛ., д.3","8\283","797\0","9863\-100"
"ОБОРОННАЯ УЛ., д.4","448\293","652\390","46\33"
"ОБОРОННАЯ УЛ., д.5","132\132","147\185","11\40"
"ОБОРОННАЯ УЛ., д.6","143\11","112\10","-22\-9"
"ОБОРОННАЯ УЛ., д.7/20","5\21","51\21","920\0"
"ОБОРОННАЯ УЛ., д.14","69\50","101\68","46\36"
"ОБОРОННАЯ УЛ., д.15","5\6","7\7","40\17"
"ОБОРОННАЯ УЛ., д.17/13","34\43","33\46","-3\7"
"ОБОРОННАЯ УЛ., д.19","55\25","32,61\25","-41\0"
"ОБОРОННАЯ УЛ., д.20/18","89\43","60\33","-33\-23"
"ОБОРОННАЯ УЛ., д.23/17","76\43","135\86","78\100"
"ОБОРОННАЯ УЛ., д.27","85\42","94\51","11\21"
"ОГОРОДНЫЙ ПЕР., д.4, корп.3","268\210","315\126","18\-40"
"ОГОРОДНЫЙ ПЕР., д.6, корп.1","708\358","410\83","-42\-77"
"ПРОМЫШЛЕННАЯ УЛ., д.26","48\51","162\65","238\27"
"ПРОМЫШЛЕННАЯ УЛ., д.28","65\33","82\42","26\27"
"ПРОМЫШЛЕННАЯ УЛ., д.30","23\1","3\17","-87\1600"
"ПРОМЫШЛЕННАЯ УЛ., д.34","59\31","42\22","-29\-29"
"ПРОМЫШЛЕННАЯ УЛ., д.36","12\6","30\15","150\150"
"ПРОМЫШЛЕННАЯ УЛ., д.38","32\17","33\16","3\-6"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.6","200\0","210\0","5\-"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.34","9\2","6\4","-33\100"
"СТАЧЕК ПР., д.1","223\321","392\88","76\-73"
"СТАЧЕК ПР., д.2/2","66\58","18\34","-73\-41"
"СТАЧЕК ПР., д.4/1","104\114","106\118","2\4"
"СТАЧЕК ПР., д.6","5\100","6\69","20\-31"
"СТАЧЕК ПР., д.9","106,01\151","88,01\149","-17\-1"
"СТАЧЕК ПР., д.10","83\145","208\63","151\-57"
"СТАЧЕК ПР., д.11","354\240","99\12","-72\-95"
"СТАЧЕК ПР., д.17","264\249","140,56\294","-47\18"
"СТАЧЕК ПР., д.19","532\438","419\79","-21\-82"
"СТАЧЕК ПР., д.21","1966\923","2816,47\1226","43\33"
"СТАЧЕК ПР., д.22","116\58","29\22","-75\-62"
"СТАЧЕК ПР., д.22А","937\506","545\232","-42\-54"
"СТАЧЕК ПР., д.23","639\291","757\391","18\34"
"СТАЧЕК ПР., д.29","53\57","63\82","19\44"
"СТАЧЕК ПР., д.33/2","19\2722","30\42","58\-98"
"СТАЧЕК ПР., д.34, корп.2","112\78","80\31","-29\-60"
"СТАЧЕК ПР., д.35","30\32","39\47","30\47"
"СТАЧЕК ПР., д.41","367\300","291\248","-21\-17"
"СТАЧЕК ПР., д.42","12\16","2\46","-83\188"
"СТАЧЕК ПР., д.95, корп.1","2257\1515","2403\1913","6\26"
"СТАЧЕК ПР., д.101, корп.1А","931\524","872\656","-6\25"
"СТАЧЕК ПР., д.101, корп.1Б","821\2031","422\626","-49\-69"
"СТАЧЕК ПР., д.101, корп.1В","2314\1238","2037\1277","-12\3"
"СТАЧЕК ПР., д.101, корп.1Г","837\500","844\538","1\8"
"СТАЧЕК ПР., д.101, корп.1Д","976\605","881\565","-10\-7"
"СТАЧЕК ПР., д.103, корп.1","1322\1464","1413\1818","7\24"
"СТАЧЕК ПР., д.105, корп.2А","644\422","540\358","-16\-15"
"СТАЧЕК ПР., д.105, корп.2Б","877\829","829\894","-5\8"
"СТАЧЕК ПР., д.105, корп.2В","1770\987","1470\1006","-17\2"
"СТАЧЕК ПР., д.105, корп.2Г","936\668","840\839","-10\26"
"СТАЧЕК ПР., д.105, корп.2Д","2510\1184","2451\1598","-2\35"
"СТАЧЕК ПР., д.105, корп.2Е","1097\730","906\791","-17\8"
"СТАЧЕК ПР., д.105, корп.2Ж","2186\1301","1834\1334","-16\3"
"СТАЧЕК ПР., д.105, корп.2З","916\660","774\817","-16\24"
"СТАЧЕК ПР., д.107, корп.1","962\457","841\403","-13\-12"
"ТРАКТОРНАЯ УЛ., д.3","30\45","24\4","-20\-91"
"ТРАКТОРНАЯ УЛ., д.4","17\41","3\30","-82\-27"
"ТРАКТОРНАЯ УЛ., д.4А","39\239","331\22","749\-91"
"ТРАКТОРНАЯ УЛ., д.5","69\87","158\120","129\38"
"ТРАКТОРНАЯ УЛ., д.6","121\42","55\30","-55\-29"
"ТРАКТОРНАЯ УЛ., д.6, корп.2","23\35","19\7","-17\-80"
