"ОБОРОННАЯ УЛ., д.6","15\9","21\13","40\44"
"ОБОРОННАЯ УЛ., д.7/20","13\6","9\4","-31\-33"
"ОБОРОННАЯ УЛ., д.14","78,77\58","98,86\68","26\17"
"ОБОРОННАЯ УЛ., д.15","5\6","1\1","-80\-83"
"ОБОРОННАЯ УЛ., д.17/13","61\47","57\41","-7\-13"
"ОБОРОННАЯ УЛ., д.19","240,61\0","242,02\0","1\-"
"ОБОРОННАЯ УЛ., д.20/18","24\12","34\17","42\42"
"ОБОРОННАЯ УЛ., д.23/17","48\24","53\26","10\8"
"ОБОРОННАЯ УЛ., д.27","64\132","13,3\38","-79\-71"
"ОГОРОДНЫЙ ПЕР., д.4, корп.3","236\184","230\180","-3\-2"
"ОГОРОДНЫЙ ПЕР., д.6, корп.1","647\113","221\107","-66\-5"
"ПРОМЫШЛЕННАЯ УЛ., д.12","857\0","857\0","0\-"
"ПРОМЫШЛЕННАЯ УЛ., д.26","59\31","70\38","19\23"
"ПРОМЫШЛЕННАЯ УЛ., д.28","116\59","68\35","-41\-41"
"ПРОМЫШЛЕННАЯ УЛ., д.30","11\6","11\7","0\17"
"ПРОМЫШЛЕННАЯ УЛ., д.34","16\11","39\24","144\118"
"ПРОМЫШЛЕННАЯ УЛ., д.36","59\30","50\30","-15\0"
"ПРОМЫШЛЕННАЯ УЛ., д.38","26\13","42\21","62\62"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.6","200\70","200\10","0\-86"
"СЕВАСТОПОЛЬСКАЯ УЛ., д.34","29\18","29\24","0\33"
"СТАЧЕК ПР., д.1","357\440","355\264","-1\-40"
"СТАЧЕК ПР., д.2/2","27\30","23\26","-15\-13"
"СТАЧЕК ПР., д.4/1","500,01\0","518,91\0","4\-"
"СТАЧЕК ПР., д.6","17\100","13\12","-24\-88"
"СТАЧЕК ПР., д.9","167,01\141","171,14\139","2\-1"
"СТАЧЕК ПР., д.10","85\116","80\109","-6\-6"
"СТАЧЕК ПР., д.11","32,81\113","33,87\107","3\-5"
"СТАЧЕК ПР., д.17","2484,55\220","2632,36\260","6\18"
"СТАЧЕК ПР., д.19","1060,17\677","864,38\594","-18\-12"
"СТАЧЕК ПР., д.21","1921,41\1076","1722,96\1008","-10\-6"
"СТАЧЕК ПР., д.22","69\78","64\72","-7\-8"
"СТАЧЕК ПР., д.22А","703\305","695\295","-1\-3"
"СТАЧЕК ПР., д.23","586\362","608\379","4\5"
"СТАЧЕК ПР., д.24","1727,02\0","1728,96\0","0\-"
"СТАЧЕК ПР., д.29","221\158","206\161","-7\2"
