"АВТОВСКАЯ УЛ., д.21","243,05\223,65","271,05\233,65","12\4"
"КОСИНОВА УЛ., д.14, корп.1","539,55\332,2","842,55\502,2","56\51"
"КОСИНОВА УЛ., д.14, корп.2","214,9\171,2","596,9\491,2","178\187"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.16/13","973,09\508,6","1186,37\621,6","22\22"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.18","114,15\69,1","170,15\100,1","49\45"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.20","345,525\206,8","512,975\301,8","48\46"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.26","624,317\351,8","709,457\406,8","14\16"
"КРАСНОПУТИЛОВСКАЯ УЛ., д.28/20","400,176\213,4","503,856\265,4","26\24"
"ЛЕНИНСКИЙ ПР., д.110, корп.1А","583,7\466,55","569,7\444,55","-2\-5"
"ЛЕНИНСКИЙ ПР., д.110, корп.1Б","3421,95\2613,75","3023,95\2264,75","-12\-13"
"ЛЕНИНСКИЙ ПР., д.120, корп.2","240\146","294\165","23\13"
"ЛЕНИНСКИЙ ПР., д.124","3347,87\1589,85","2905\1491,85","-13\-6"
"ЛЕНИНСКИЙ ПР., д.130, корп.2","921,1\441,9","1015,1\485,9","10\10"
"МАЙКОВ ПЕР., д.3","89\55","117\70","31\27"
"МАЙКОВ ПЕР., д.5А","55\30","67\35","22\17"
"МАЙКОВ ПЕР., д.7/1","179\92,5","154\81,5","-14\-12"
"МАРШАЛА ГОВОРОВА УЛ., д.3/7","404,197\0","481,16\0","19\-"
"МАРШАЛА ГОВОРОВА УЛ., д.5/4","473,519\337,45","477,159\335,45","1\-1"
"МАРШАЛА ГОВОРОВА УЛ., д.6/5","175,592\115,35","253,612\156,35","44\36"
"МАРШАЛА ГОВОРОВА УЛ., д.7","183,7\98,15","212,7\114,15","16\16"
"МАРШАЛА ГОВОРОВА УЛ., д.11/3","169,46\96,5","165,784\36,45","-2\-62"
"МАРШАЛА ГОВОРОВА УЛ., д.15","105,968\104,75","111,888\110,75","6\6"
"МАРШАЛА ГОВОРОВА УЛ., д.16","4630,4\1730,15","5821,4\2265,15","26\31"
"МАРШАЛА ГОВОРОВА УЛ., д.17","117,041\81,3","107,741\71,3","-8\-12"
"МАРШАЛА ГОВОРОВА УЛ., д.21","372,75\194,9","406,75\214,9","9\10"
"МАРШАЛА ГОВОРОВА УЛ., д.22/10","587,88\371","615,48\385","5\4"
"МАРШАЛА ГОВОРОВА УЛ., д.22, корп.2","128,296\104,25","148,046\116,25","15\12"
"МАРШАЛА ГОВОРОВА УЛ., д.23","171,55\83,95","210,55\104,95","23\25"
"МАРШАЛА ГОВОРОВА УЛ., д.24","598,35\359,8","788,35\461,8","32\28"
"МАРШАЛА ГОВОРОВА УЛ., д.26, корп.2","236,35\120,85","226,35\115,85","-4\-4"
"МАРШАЛА ЖУКОВА ПР., д.18А","1249,95\553,2","1196,95\531,2","-4\-4"
"МАРШАЛА ЖУКОВА ПР., д.18Б","3132,99\1261,6","3100,89\1455,6","-1\15"
"МАРШАЛА ЖУКОВА ПР., д.18В","3393,85\1648,6","3519,85\1720,6","4\4"
"МАРШАЛА ЖУКОВА ПР., д.18Г","1797,39\891","1852,57\1004","3\13"
"МАРШАЛА ЖУКОВА ПР., д.18Д","1308,65\642,1","1292,65\641,1","-1\0"
"МАРШАЛА ЖУКОВА ПР., д.26/16А","1129,45\712,25","1129,45\712,25","0\0"
"МАРШАЛА ЖУКОВА ПР., д.26/16Б","2209,46\1102,3","2171,12\1102,3","-2\0"
"МАРШАЛА ЖУКОВА ПР., д.26/16В","2515,96\1564,6","2480,98\1564,6","-1\0"
"МАРШАЛА ЖУКОВА ПР., д.28, корп.1","2681,87\1552,9","2654,29\1552,9","-1\0"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2А","1818\942","1818\942","0\0"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Б","165,5\99,05","165,5\99,05","0\0"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2В","4298\2006,95","4298\2006,95","0\0"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Г","2463,45\1456,25","2463,45\1456,25","0\0"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Д","4019,25\2013,55","4019,25\2013,55","0\0"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Е","1792\1218,05","1792\1218,05","0\0"
"МАРШАЛА ЖУКОВА ПР., д.30, корп.2Ж","2740,3\1382,95","2740,3\1382,95","0\0"
"МАРШАЛА ЖУКОВА ПР., д.32, корп.1","4990,71\2203,75","4639,51\2072,75","-7\-6"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1А","2312,3\1389,3","2256,3\1356,3","-2\-2"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Б","361,4\77,47","351\78","-3\1"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1В","2593,85\1943,35","2556,85\1990,35","-1\2"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Г","1455,5\834,95","1454,38\869,95","0\4"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Д","697,93\149,61","678\152","-3\2"
"МАРШАЛА ЖУКОВА ПР., д.34, корп.1Е","1057,42\226,67","1028,75\230,75","-3\2"
"МАРШАЛА КАЗАКОВА УЛ., д.1, корп.2","1960,6\1157,45","2032,6\1187,45","4\3"
"МАРШАЛА КАЗАКОВА УЛ., д.3, корп.1","1630,65\689,75","1525,65\645,75","-6\-6"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1А","936,415\592,75","872,415\594,75","-7\0"
"МАРШАЛА КАЗАКОВА УЛ., д.5, корп.1Б","1623,29\989,85","1732,59\1153,85","7\17"
"МАРШАЛА КАЗАКОВА УЛ., д.10, корп.1А","1096,98\759,5","1268,65\991,5","16\31"
